gateway-1  | time=2026-07-10T19:44:30.534Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000021 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.941Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000022 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.975Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000023 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:31.846Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000024 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:32.689Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000026 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:32.955Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000027 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:32.975Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000028 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:33.154Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000029 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:43.845Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000007 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:46.690Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000014 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:55.714Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000047 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:02.591Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000066 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:10.030Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000089 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:11.122Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000094 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:12.079Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000096 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:13.729Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000101 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:24.527Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000138 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:26.440Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000145 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:39.318Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000194 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:45:39.491Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-near-completion-r1-000195 error_class=canceled cancel_point=mid_stream status=499
